date,code,prt_stock,prt_rate_b,prt_cred_b,prt_conv_b
2020/3/31,000190.OF,0.228070755,0.050122924,0.662036195,0
2020/6/30,000190.OF,0.220417576,0.085242891,0.636813383,0
2020/9/30,000190.OF,0.159689322,0.063607388,0.552782116,0
2020/12/31,000190.OF,0.183032169,0.057737551,0.586019026,0.000210098
2021/3/31,000190.OF,0.13057498,0.092553997,0.709487974,0.000155219
2021/6/30,000190.OF,0.195308266,0.098036938,0.689624811,0.000759043
2021/9/30,000190.OF,0.165560894,0.050166292,0.763507719,0
2021/12/31,000190.OF,0.161183281,0.078316078,0.735064125,0
2022/3/31,000190.OF,0.109270506,0.053729639,0.823168631,0
2022/6/30,000190.OF,0.17040617,0.043580503,0.754127398,0
2022/9/30,000190.OF,0.14766058,0.041160574,0.798158503,0
2022/12/31,000190.OF,0.13193141,0.044141052,0.79769191,0
2019/12/31,000195.OF,0.304163685,0.053132367,0.427951126,0.048365321
2020/3/31,000195.OF,0.329043999,0.057226181,0.516774778,0.058569651
2020/6/30,000195.OF,0.430243797,0.074196863,0.337697582,0.069166842
2020/9/30,000195.OF,0.149167013,0.04900022,0.75757203,0.019277664
2020/12/31,000195.OF,0.191828613,0.082833641,0.671798761,0.011077132
2021/3/31,000195.OF,0.166857567,0.080031917,0.58489135,0.105336819
2021/6/30,000195.OF,0.140163155,0.079197452,0.622843163,0.099243488
2021/9/30,000195.OF,0.202324657,0.074102342,0.673920114,0.024698415
2021/12/31,000195.OF,0.222010689,0.067743021,0.639572874,0.036222847
2022/3/31,000195.OF,0.24559475,0.060436989,0.670518993,0.012818737
2022/6/30,000195.OF,0.303370018,0.098650985,0.555347924,0.022373772
2022/9/30,000195.OF,0.408989029,0.107002735,0.427014892,0.027569554
2022/12/31,000195.OF,0.429975853,0.113281837,0.398557305,0.037242889
2019/12/31,000207.OF,0.005258823,0.073178442,0.572330287,0.239089813
2020/3/31,000207.OF,0.00923901,0.084948897,0.484808717,0.397140579
2020/6/30,000207.OF,0,0.06661828,0.497672453,0.395580025
2020/9/30,000207.OF,0.018465406,0.177615833,0.190474873,0.44513485
2020/12/31,000207.OF,0,0.14582922,0.098418369,0.685524674
2021/3/31,000207.OF,0,0.139165278,0.034941397,0.71229454
2021/6/30,000207.OF,0,0.177573347,4.77E-08,0.691223526
2021/9/30,000207.OF,0,0.218530116,0.413317056,0.3029035
2021/12/31,000207.OF,0,0.121276003,0.631303763,0.206868095
2022/3/31,000207.OF,0,0.135942115,0.699640542,0
2022/6/30,000207.OF,0,0.897947617,0.074168777,0
2022/9/30,000207.OF,0,0.999537585,0,0
2022/12/31,000207.OF,0,0.998235626,0,0
