基金代码,基金简称,基金成立日,修正基金成立日,成立年限,基金标签,投资类型(二级),基金经理(现任),基金公司,是否定期开放基金,管理费(%),托管费(%),申购赎回状态,基金规模(合计)
000045.OF,工银瑞信产业债A,2013/3/29,2013/3/29,8.93,平衡型,混合债券型二级基金,何秀红,工银瑞信基金,否,0.6,0.2,暂停大额申购|开放赎回,240.41
000047.OF,华夏双债增强A,2013/3/14,2013/3/14,8.98,激进型,混合债券型一级基金,柳万军,华夏基金,否,0.6,0.2,开放申购|开放赎回,30.03
000054.OF,鹏华双债增利,2013/3/13,2013/3/13,8.98,平衡型,混合债券型二级基金,"陈大烨,杨雅洁",鹏华基金,否,0.5,0.15,开放申购|开放赎回,49.68
000065.OF,国富焦点驱动灵活配置,2013/5/7,2013/5/7,8.83,激进型,灵活配置型基金,"赵晓东,刘怡敏,刘晓",国海富兰克林基金,否,0.9,0.25,暂停大额申购|开放赎回,9.89
000107.OF,富国稳健增强AB,2013/5/21,2013/5/21,8.79,平衡型,混合债券型二级基金,俞晓斌,富国基金,否,0.5,0.2,开放申购|开放赎回,63.59
000110.OF,金鹰元安A,2013/5/20,2017/6/6,8.79,激进型,偏债混合型基金,"林龙军,杨晓斌",金鹰基金,否,0.6,0.2,暂停大额申购|开放赎回,7.95
000121.OF,华夏永福A,2013/8/13,2013/8/13,8.56,激进型,偏债混合型基金,何家琪,华夏基金,否,0.9,0.2,开放申购|开放赎回,29.97
000122.OF,汇添富实业债A,2013/6/14,2013/6/14,8.72,稳健型,中长期纯债型基金,徐一恒,汇添富基金,否,0.3,0.1,开放申购|开放赎回,4.85
000143.OF,鹏华双债加利A,2013/5/27,2013/5/27,8.77,平衡型,混合债券型二级基金,王石千,鹏华基金,否,0.5,0.15,暂停大额申购|开放赎回,85.37
000149.OF,华安双债添利A,2013/6/14,2013/6/14,8.72,稳健型,混合债券型一级基金,"贺涛,朱才敏",华安基金,否,0.7,0.2,开放申购|开放赎回,1.35
000171.OF,易方达裕丰回报,2013/8/23,2013/8/23,8.53,平衡型,混合债券型二级基金,"张清华,张雅君",易方达基金,否,0.4,0.1,开放申购|开放赎回,410.77
000181.OF,景顺长城四季金利A,2013/7/30,2013/7/30,8.6,稳健型,混合债券型二级基金,彭成军,景顺长城基金,否,0.3,0.1,开放申购|开放赎回,17.19
000190.OF,中银新回报A,2015/7/17,2015/7/17,6.63,平衡型,灵活配置型基金,李建,中银基金,否,1.2,0.2,开放申购|开放赎回,45.23
000215.OF,广发趋势优选A,2013/9/11,2013/9/11,8.48,稳健型,灵活配置型基金,谭昌杰,广发基金,否,0.6,0.15,开放申购|开放赎回,67.73
000236.OF,工银月月薪定期支付A,2013/8/14,2013/8/14,8.56,平衡型,混合债券型二级基金,张洋,工银瑞信基金,否,0.7,0.2,开放申购|开放赎回,5.6
000314.OF,招商瑞丰A,2013/11/6,2013/11/6,8.33,平衡型,灵活配置型基金,王刚,招商基金,否,0.6,0.15,开放申购|开放赎回,16.71
000338.OF,鹏华双债保利,2013/9/18,2013/9/18,8.46,平衡型,混合债券型二级基金,王石千,鹏华基金,否,0.5,0.1,暂停大额申购|开放赎回,110.63
000367.OF,国泰安康定期支付A,2014/4/30,2014/4/30,7.85,平衡型,偏债混合型基金,王琳,国泰基金,否,0.9,0.25,暂停大额申购|开放赎回,9.4
000377.OF,上投摩根双债增利A,2013/12/11,2013/12/11,8.23,平衡型,混合债券型二级基金,"陈圆明,唐瑭",上投摩根基金,否,0.7,0.2,开放申购|开放赎回,1.03
000385.OF,景顺长城景颐双利A,2013/11/13,2013/11/13,8.31,平衡型,混合债券型二级基金,"董晗,李怡文",景顺长城基金,否,0.4,0.1,开放申购|开放赎回,480.13
000406.OF,汇添富双利增强A,2013/12/3,2013/12/3,8.25,平衡型,混合债券型二级基金,徐光,汇添富基金,否,0.4,0.1,开放申购|开放赎回,1.75
000436.OF,易方达裕惠回报,2013/12/17,2014/8/18,8.21,稳健型,偏债混合型基金,胡剑,易方达基金,是,0.4,0.1,暂停申购|暂停赎回,31.96
000463.OF,华商双债丰利A,2014/1/28,2014/1/28,8.1,稳健型,混合债券型二级基金,厉骞,华商基金,否,0.7,0.2,暂停申购|开放赎回,2.03
000502.OF,华富恒富18个月A,2017/11/22,2017/11/22,4.28,平衡型,混合债券型一级基金,姚姣姣,华富基金,是,0.6,0.1,暂停申购|暂停赎回,6.39
000507.OF,泰达宏利宏达A,2014/3/5,2014/3/5,8,激进型,偏债混合型基金,"师婧,宁霄",泰达宏利基金,否,0.6,0.25,开放申购|开放赎回,3.48
000572.OF,中银多策略A,2014/3/31,2014/3/31,7.93,平衡型,灵活配置型基金,李建,中银基金,否,1.5,0.25,开放申购|开放赎回,15.17
000573.OF,天弘通利,2014/3/14,2014/3/14,7.98,平衡型,灵活配置型基金,"金梦,王华",天弘基金,否,0.8,0.15,暂停大额申购|开放赎回,6.47
000590.OF,华安新活力,2014/4/1,2014/4/1,7.93,平衡型,灵活配置型基金,贺涛,华安基金,否,0.7,0.25,暂停大额申购|开放赎回,9.63
000664.OF,国联安通盈A,2014/6/13,2014/6/13,7.73,平衡型,灵活配置型基金,"薛琳,王欢",国联安基金,否,0.6,0.1,暂停大额申购|开放赎回,7.87
000708.OF,华安安享,2015/1/23,2015/1/23,7.11,稳健型,灵活配置型基金,郑可成,华安基金,否,0.7,0.25,暂停大额申购|开放赎回,3.4
000714.OF,诺安稳健回报A,2014/9/15,2014/9/15,7.47,平衡型,灵活配置型基金,"李玉良,郭晓晖",诺安基金,否,0.6,0.25,开放申购|开放赎回,3.45
000875.OF,建信稳定得利A,2014/12/2,2014/12/2,7.25,稳健型,混合债券型二级基金,黎颖芳,建信基金,否,0.7,0.2,开放申购|开放赎回,84.97
000932.OF,前海开源睿远稳健增利A,2015/1/14,2015/1/14,7.14,平衡型,偏债混合型基金,"刘静,董治国",前海开源基金,否,0.9,0.1,暂停大额申购|开放赎回,5.93
000973.OF,新华增盈回报,2015/1/16,2015/1/16,7.13,平衡型,混合债券型二级基金,"郑毅,王丹",新华基金,否,0.5,0.1,暂停大额申购|开放赎回,28.06
001001.OF,华夏债券AB,2002/10/23,2002/10/23,19.37,平衡型,混合债券型一级基金,何家琪,华夏基金,否,0.6,0.2,开放申购|开放赎回,30.06
001011.OF,华夏希望债券A,2008/3/10,2008/3/10,13.99,稳健型,混合债券型二级基金,何家琪,华夏基金,否,0.7,0.2,开放申购|开放赎回,39.15
001019.OF,兴业年年利,2015/2/12,2015/2/12,7.06,稳健型,中长期纯债型基金,丁进,兴业基金,是,0.4,0.1,暂停申购|暂停赎回,10.49
001035.OF,中银恒利半年,2015/1/30,2015/1/30,7.09,平衡型,混合债券型二级基金,李建,中银基金,是,0.6,0.2,暂停申购|暂停赎回,33.43
001067.OF,鹏华弘盛A,2015/2/25,2015/2/25,7.02,稳健型,灵活配置型基金,"王石千,方昶",鹏华基金,否,0.6,0.25,暂停大额申购|开放赎回,7.77
001086.OF,华富恒利A,2015/8/31,2015/8/31,6.51,激进型,混合债券型二级基金,张惠,华富基金,否,0.6,0.2,开放申购|开放赎回,3.42
001110.OF,中欧瑾泉A,2015/3/16,2015/3/16,6.97,平衡型,灵活配置型基金,"张跃鹏,余罗畅",中欧基金,否,0.6,0.15,暂停大额申购|开放赎回,7.39
001115.OF,广发聚安A,2015/3/25,2015/3/25,6.95,平衡型,偏债混合型基金,郎振东,广发基金,否,0.8,0.2,暂停大额申购|开放赎回,7.16
001122.OF,鹏华弘利A,2015/3/12,2015/3/12,6.98,平衡型,灵活配置型基金,李君,鹏华基金,否,0.6,0.25,暂停大额申购|开放赎回,7.5
001136.OF,易方达裕如,2015/3/24,2015/3/24,6.95,稳健型,灵活配置型基金,李一硕,易方达基金,否,0.6,0.1,开放申购|开放赎回,13.24
001141.OF,泰达宏利创盈A,2015/3/30,2015/3/30,6.93,激进型,灵活配置型基金,"宋加旺,李宇璐",泰达宏利基金,否,0.7,0.2,开放申购|开放赎回,3.01
001146.OF,中欧瑾源A,2015/3/31,2015/3/31,6.93,平衡型,灵活配置型基金,"张跃鹏,余罗畅",中欧基金,否,0.6,0.15,暂停大额申购|开放赎回,8.19
001164.OF,中欧琪和A,2015/4/7,2015/4/7,6.91,稳健型,灵活配置型基金,"黄华,蒋雯文",中欧基金,否,0.6,0.1,开放申购|开放赎回,36.3
001172.OF,鹏华弘泽A,2015/4/14,2015/4/14,6.89,平衡型,灵活配置型基金,张栓伟,鹏华基金,否,0.6,0.25,暂停大额申购|开放赎回,5.6
001183.OF,南方利淘A,2015/4/17,2015/4/17,6.88,平衡型,灵活配置型基金,陈乐,南方基金,否,0.6,0.1,开放申购|开放赎回,15.46
001185.OF,安信动态策略A,2015/4/15,2015/4/15,6.89,激进型,灵活配置型基金,"袁玮,张睿",安信基金,否,1,0.2,暂停大额申购|开放赎回,3.76
001189.OF,广发聚宝A,2015/4/9,2015/4/9,6.9,平衡型,偏债混合型基金,谭昌杰,广发基金,否,1.2,0.2,暂停大额申购|开放赎回,11.66
001190.OF,鹏华弘润A,2015/4/14,2015/4/14,6.89,稳健型,灵活配置型基金,李君,鹏华基金,否,0.6,0.25,暂停大额申购|开放赎回,4.33
001194.OF,景顺长城稳健回报A,2015/4/10,2015/4/10,6.9,平衡型,灵活配置型基金,陈莹,景顺长城基金,否,0.6,0.15,暂停大额申购|开放赎回,7.6
001196.OF,东方鼎新A,2015/4/21,2015/4/21,6.87,平衡型,灵活配置型基金,盛泽,东方基金,否,0.7,0.25,暂停大额申购|开放赎回,4.26
001201.OF,申万菱信安鑫回报A,2015/4/28,2015/4/28,6.85,平衡型,灵活配置型基金,唐俊杰,申万菱信基金,否,0.6,0.1,暂停大额申购|开放赎回,6.91
001202.OF,东方红领先精选,2015/4/17,2015/4/17,6.88,激进型,灵活配置型基金,纪文静,东证资管,否,0.7,0.2,开放申购|开放赎回,13.43
001203.OF,东方红稳健精选A,2015/4/17,2015/4/17,6.88,平衡型,偏债混合型基金,"纪文静,孔令超",东证资管,否,0.6,0.1,开放申购|开放赎回,20.44
001235.OF,中银国有企业债A,2015/9/29,2015/9/29,6.43,稳健型,中长期纯债型基金,王晓彦,中银基金,否,0.3,0.1,开放申购|开放赎回,27.53
001249.OF,易方达新利,2015/4/30,2015/4/30,6.85,平衡型,灵活配置型基金,韩阅川,易方达基金,否,0.6,0.2,开放申购|开放赎回,11.48
001250.OF,天弘新活力,2015/4/29,2015/4/29,6.85,激进型,灵活配置型基金,"贺剑,王华",天弘基金,否,0.8,0.15,开放申购|开放赎回,5.48
001257.OF,兴业收益增强A,2015/5/29,2015/5/29,6.77,激进型,混合债券型二级基金,"周鸣,丁进",兴业基金,否,0.7,0.2,暂停大额申购|开放赎回,48.2
001285.OF,易方达新鑫I,2015/5/14,2015/5/14,6.81,平衡型,灵活配置型基金,韩阅川,易方达基金,否,0.6,0.2,开放申购|开放赎回,11.27
001289.OF,银华汇利A,2015/5/14,2015/5/14,6.81,稳健型,灵活配置型基金,"赵楠楠,王智伟",银华基金,否,0.6,0.15,暂停大额申购|开放赎回,55.62
001309.OF,东方红睿逸,2015/6/3,2015/6/3,6.75,平衡型,偏债混合型基金,"纪文静,孔令超",东证资管,是,1.5,0.2,暂停申购|暂停赎回,52.68
001312.OF,华安新优选A,2015/5/29,2015/5/29,6.77,平衡型,灵活配置型基金,"周益鸣,陆奔",华安基金,否,0.7,0.15,开放申购|开放赎回,37.54
001314.OF,易方达新益I,2015/6/16,2015/6/16,6.72,激进型,灵活配置型基金,韩阅川,易方达基金,否,0.6,0.2,开放申购|开放赎回,13.37
001316.OF,安信稳健增值A,2015/5/25,2015/5/25,6.78,平衡型,灵活配置型基金,"张翼飞,李君",安信基金,否,0.6,0.2,开放申购|开放赎回,188.33
001324.OF,华宝新价值,2015/6/1,2015/6/1,6.76,平衡型,灵活配置型基金,林昊,华宝基金,否,0.6,0.25,开放申购|开放赎回,10.48
001325.OF,鹏华弘和A,2015/5/25,2015/5/25,6.78,平衡型,灵活配置型基金,刘方正,鹏华基金,否,0.6,0.15,暂停大额申购|开放赎回,7.84
001329.OF,鹏华弘实A,2015/5/25,2015/5/25,6.78,平衡型,灵活配置型基金,"李韵怡,戴钢",鹏华基金,否,0.6,0.15,暂停大额申购|开放赎回,6.77
001331.OF,鹏华弘信A,2015/5/25,2015/5/25,6.78,激进型,灵活配置型基金,刘方正,鹏华基金,否,0.6,0.15,暂停大额申购|开放赎回,6.55
001334.OF,南方利鑫A,2015/5/20,2015/5/20,6.79,平衡型,灵活配置型基金,陈乐,南方基金,否,0.6,0.1,暂停大额申购|开放赎回,10.4
001335.OF,南方利众A,2015/5/21,2015/5/21,6.79,激进型,灵活配置型基金,吴剑毅,南方基金,否,1,0.2,开放申购|开放赎回,7.24
001336.OF,鹏华弘益A,2015/5/29,2015/5/29,6.77,平衡型,灵活配置型基金,李韵怡,鹏华基金,否,0.6,0.25,暂停大额申购|开放赎回,7.05
001342.OF,易方达新享A,2015/5/29,2015/5/29,6.77,平衡型,灵活配置型基金,韩阅川,易方达基金,否,0.6,0.2,开放申购|开放赎回,11.25
001352.OF,民生加银新战略A,2015/6/26,2015/6/26,6.69,激进型,灵活配置型基金,"柳世庆,刘昊",民生加银基金,否,1.5,0.25,暂停大额申购|开放赎回,1.29
001355.OF,广发聚泰A,2015/6/8,2015/6/8,6.74,平衡型,偏债混合型基金,宋倩倩,广发基金,否,0.6,0.1,开放申购|开放赎回,6.18
001362.OF,景顺长城领先回报A,2015/5/25,2015/5/25,6.78,平衡型,灵活配置型基金,"陈健宾,曾理",景顺长城基金,否,0.6,0.1,暂停大额申购|开放赎回,9
001370.OF,中银新趋势,2015/5/29,2015/5/29,6.77,激进型,灵活配置型基金,杨成,中银基金,否,1.2,0.2,开放申购|开放赎回,4.29
001399.OF,安信鑫安得利A,2015/6/5,2015/6/5,6.75,激进型,灵活配置型基金,庄园,安信基金,否,0.8,0.1,开放申购|开放赎回,7.07
001402.OF,信诚新选回报A,2015/6/5,2015/6/5,6.75,平衡型,灵活配置型基金,"提云涛,王颖",中信保诚基金,否,0.65,0.15,暂停大额申购|开放赎回,10.72
001405.OF,东方红策略精选A,2015/6/5,2015/6/5,6.75,平衡型,灵活配置型基金,"孔令超,徐觅",东证资管,否,0.6,0.1,开放申购|开放赎回,18.62
001415.OF,信诚新锐回报A,2015/6/11,2015/6/11,6.73,平衡型,灵活配置型基金,"杨立春,王颖",中信保诚基金,否,0.6,0.2,开放申购|开放赎回,14.58
001418.OF,泰达宏利创益A,2015/6/16,2015/6/16,6.72,激进型,灵活配置型基金,"宋加旺,李宇璐",泰达宏利基金,否,0.7,0.17,开放申购|开放赎回,1.25
001422.OF,景顺长城安享回报A,2015/6/15,2015/6/15,6.72,平衡型,灵活配置型基金,陈莹,景顺长城基金,否,0.6,0.1,暂停大额申购|开放赎回,10.64
001427.OF,招商丰泽A,2015/6/11,2015/6/11,6.73,平衡型,灵活配置型基金,王刚,招商基金,否,0.6,0.15,开放申购|开放赎回,14.79
001433.OF,易方达瑞景,2015/6/30,2015/6/30,6.68,平衡型,灵活配置型基金,韩阅川,易方达基金,否,0.6,0.15,开放申购|开放赎回,11.55
001443.OF,易方达瑞选I,2015/12/2,2015/12/2,6.25,激进型,灵活配置型基金,韩阅川,易方达基金,否,0.6,0.12,开放申购|开放赎回,14.97
001447.OF,天弘惠利,2015/6/10,2015/6/10,6.73,激进型,灵活配置型基金,"贺剑,张寓,王华",天弘基金,否,0.6,0.15,暂停大额申购|开放赎回,5.38
001453.OF,鹏华弘鑫A,2015/6/18,2015/6/18,6.71,平衡型,灵活配置型基金,李韵怡,鹏华基金,否,0.6,0.1,暂停大额申购|开放赎回,5.7
001464.OF,光大鼎鑫A,2015/6/11,2015/6/11,6.73,平衡型,灵活配置型基金,詹佳,光大保德信基金,否,0.6,0.15,暂停大额申购|开放赎回,10.11
001470.OF,融通通鑫,2015/6/15,2015/6/15,6.72,平衡型,灵活配置型基金,"余志勇,许富强",融通基金,否,0.6,0.15,暂停大额申购|开放赎回,6.34
001485.OF,华安添颐,2015/6/16,2015/6/16,6.72,稳健型,偏债混合型基金,朱才敏,华安基金,否,0.6,0.15,开放申购|开放赎回,7.35
001488.OF,万家瑞丰A,2015/6/19,2015/6/19,6.71,平衡型,灵活配置型基金,尹诚庸,万家基金,否,0.6,0.15,暂停大额申购|开放赎回,6.96
001495.OF,东方新价值A,2015/7/3,2015/7/3,6.67,激进型,灵活配置型基金,金凤,东方基金,否,0.8,0.2,暂停大额申购|开放赎回,3.14
001499.OF,国投瑞银新增长A,2015/6/19,2015/6/19,6.71,激进型,灵活配置型基金,桑俊,国投瑞银基金,否,0.6,0.1,暂停大额申购|开放赎回,6.47
001522.OF,博时新策略A,2015/11/23,2015/11/23,6.28,平衡型,灵活配置型基金,"杨永光,王惟",博时基金,否,0.6,0.15,暂停大额申购|开放赎回,9.01
001524.OF,华泰柏瑞精选回报,2016/3/29,2016/9/2,5.93,激进型,灵活配置型基金,"吴邦栋,王烨斌",华泰柏瑞基金,否,0.6,0.15,暂停大额申购|开放赎回,8.97
001530.OF,万家瑞富A,2016/11/25,2016/11/25,5.27,稳健型,灵活配置型基金,"苏谋东,谷丹青",万家基金,否,0.6,0.15,开放申购|开放赎回,7.58
001547.OF,兴业聚惠A,2015/7/8,2015/7/8,6.66,平衡型,灵活配置型基金,徐青,兴业基金,否,0.6,0.1,开放申购|开放赎回,11
001566.OF,南方利达A,2015/7/8,2015/7/8,6.66,平衡型,灵活配置型基金,吴剑毅,南方基金,否,0.8,0.2,开放申购|开放赎回,8.34
001570.OF,南方利安A,2015/11/19,2015/11/19,6.29,平衡型,灵活配置型基金,吴剑毅,南方基金,否,0.6,0.1,开放申购|开放赎回,12.06
001596.OF,信诚新泽回报A,2017/6/27,2017/6/27,4.68,激进型,灵活配置型基金,"吴昊,孙浩中",中信保诚基金,否,0.6,0.1,暂停大额申购|开放赎回,3.25
001633.OF,万家瑞祥A,2016/11/17,2016/11/17,5.29,稳健型,灵活配置型基金,苏谋东,万家基金,否,0.6,0.2,开放申购|开放赎回,10.08
001635.OF,万家瑞益A,2015/12/7,2015/12/7,6.24,激进型,灵活配置型基金,尹诚庸,万家基金,否,0.7,0.2,暂停大额申购|开放赎回,8.69
001664.OF,平安鑫安A,2015/12/11,2015/12/11,6.23,平衡型,灵活配置型基金,刘杰,平安基金,否,0.6,0.1,暂停大额申购|开放赎回,1.28
001688.OF,嘉实新起点A,2015/11/27,2015/11/27,6.27,平衡型,灵活配置型基金,刘宁,嘉实基金,否,0.6,0.2,暂停大额申购|开放赎回,6.65
001710.OF,安信新趋势A,2016/12/9,2016/12/9,5.23,平衡型,灵活配置型基金,"张翼飞,李君",安信基金,否,0.6,0.2,开放申购|开放赎回,38.76
001720.OF,工银瑞信新增利,2016/12/29,2016/12/29,5.18,平衡型,偏债混合型基金,张洋,工银瑞信基金,否,0.5,0.1,暂停大额申购|开放赎回,7.23
001721.OF,工银瑞信新增益,2016/12/29,2016/12/29,5.18,平衡型,偏债混合型基金,"李敏,农冰立",工银瑞信基金,否,0.5,0.1,暂停大额申购|开放赎回,7.41
001745.OF,易方达瑞富I,2017/5/12,2017/5/12,4.81,激进型,灵活配置型基金,韩阅川,易方达基金,否,0.6,0.1,开放申购|开放赎回,11.46
001747.OF,易方达瑞祺I,2018/1/29,2018/1/29,4.09,激进型,灵活配置型基金,韩阅川,易方达基金,否,0.6,0.1,开放申购|开放赎回,13.26
001756.OF,嘉实策略优选,2016/11/18,2016/11/18,5.29,平衡型,灵活配置型基金,"胡永青,轩璇,赖礼辉",嘉实基金,否,0.6,0.1,暂停大额申购|开放赎回,9.17
001802.OF,易方达瑞财I,2016/2/4,2016/2/4,6.08,稳健型,灵活配置型基金,纪玲云,易方达基金,否,0.6,0.15,开放申购|开放赎回,12.3
001806.OF,易方达瑞智I,2017/6/21,2017/6/21,4.7,平衡型,灵活配置型基金,韩阅川,易方达基金,否,0.6,0.1,暂停申购|开放赎回,11.01
001817.OF,易方达瑞兴I,2017/6/23,2017/6/23,4.7,平衡型,灵活配置型基金,韩阅川,易方达基金,否,0.6,0.1,暂停申购|开放赎回,11.25
001835.OF,易方达瑞祥I,2018/1/19,2018/1/19,4.12,平衡型,灵活配置型基金,韩阅川,易方达基金,否,0.6,0.1,开放申购|开放赎回,11.04
001850.OF,国泰安益A,2016/12/23,2016/12/23,5.19,激进型,灵活配置型基金,王琳,国泰基金,否,0.6,0.1,暂停大额申购|开放赎回,9.39
001862.OF,东方红收益增强A,2015/11/2,2015/11/2,6.34,激进型,混合债券型二级基金,"纪文静,胡伟",东证资管,否,0.7,0.2,开放申购|开放赎回,28.27
001903.OF,光大欣鑫A,2015/11/16,2015/11/16,6.3,平衡型,灵活配置型基金,"陈栋,黄波",光大保德信基金,否,0.6,0.15,暂停大额申购|开放赎回,7.17
001939.OF,光大睿鑫A,2015/11/17,2015/11/17,6.3,平衡型,灵活配置型基金,"翟云飞,黄波",光大保德信基金,否,0.6,0.15,暂停大额申购|开放赎回,8.15
001945.OF,东方红信用债A,2015/11/16,2015/11/16,6.3,稳健型,混合债券型一级基金,纪文静,东证资管,否,0.7,0.15,暂停大额申购|开放赎回,92.42
002000.OF,工银瑞信新生利,2016/12/29,2016/12/29,5.18,平衡型,偏债混合型基金,"李敏,李昱",工银瑞信基金,否,0.5,0.1,暂停大额申购|开放赎回,7.08
002005.OF,工银瑞信新得利,2017/3/23,2017/3/23,4.95,平衡型,偏债混合型基金,"李敏,林梦",工银瑞信基金,否,0.9,0.1,暂停大额申购|开放赎回,4.74
002006.OF,工银瑞信新得益,2016/11/22,2016/11/22,5.28,平衡型,偏债混合型基金,张洋,工银瑞信基金,否,0.9,0.1,开放申购|开放赎回,10.25
002009.OF,中欧瑾通A,2015/11/17,2015/11/17,6.3,稳健型,灵活配置型基金,华李成,中欧基金,否,0.6,0.15,开放申购|开放赎回,101.81
002015.OF,南方荣光A,2015/11/19,2015/11/19,6.29,平衡型,灵活配置型基金,郑迎迎,南方基金,否,0.6,0.1,开放申购|开放赎回,9.1
002018.OF,鹏华弘安A,2015/11/24,2015/11/24,6.28,平衡型,灵活配置型基金,李君,鹏华基金,否,0.6,0.1,暂停大额申购|开放赎回,5.95
002025.OF,广发聚盛A,2015/11/23,2015/11/23,6.28,平衡型,灵活配置型基金,李晓博,广发基金,否,0.6,0.15,暂停大额申购|开放赎回,9.64
002027.OF,中加心享A,2015/12/2,2015/12/2,6.25,稳健型,灵活配置型基金,"闫沛贤,王梁,钟伟",中加基金,否,0.6,0.2,开放申购|开放赎回,10.74
002049.OF,融通新机遇,2015/11/17,2015/11/17,6.3,平衡型,灵活配置型基金,"余志勇,刘明",融通基金,否,0.6,0.2,开放申购|开放赎回,7.03
002057.OF,中银新机遇A,2015/11/19,2015/11/19,6.29,平衡型,灵活配置型基金,苗婷,中银基金,否,0.6,0.1,开放申购|开放赎回,10.26
002087.OF,国富新机遇A,2015/11/19,2015/11/19,6.29,平衡型,灵活配置型基金,"刘晓,王莉",国海富兰克林基金,否,0.6,0.15,暂停大额申购|开放赎回,15.94
002111.OF,华宝新起点,2016/12/19,2016/12/19,5.21,平衡型,灵活配置型基金,高文庆,华宝基金,否,0.6,0.15,开放申购|开放赎回,9.02
002116.OF,广发安享A,2016/2/22,2016/2/22,6.03,稳健型,灵活配置型基金,"吴敌,张芊",广发基金,否,0.5,0.06,暂停大额申购|开放赎回,11.52
002120.OF,广发安悦回报A,2016/11/7,2016/11/7,5.32,稳健型,灵活配置型基金,"张芊,邱世磊",广发基金,否,0.6,0.1,暂停大额申购|开放赎回,15.87
002134.OF,广发鑫裕A,2016/3/1,2016/3/1,6.01,平衡型,灵活配置型基金,刘志辉,广发基金,否,0.6,0.15,暂停大额申购|开放赎回,6.73
002156.OF,长盛盛世A,2015/12/11,2015/12/11,6.23,激进型,灵活配置型基金,"李琪,王远鸿",长盛基金,否,0.6,0.2,开放申购|开放赎回,3.54
002222.OF,嘉实新趋势,2016/4/8,2016/4/8,5.9,平衡型,灵活配置型基金,刘宁,嘉实基金,否,0.6,0.2,暂停大额申购|开放赎回,6.62
002227.OF,长城新优选A,2016/3/22,2016/3/22,5.95,稳健型,偏债混合型基金,马强,长城基金,否,0.6,0.15,开放申购|开放赎回,21.27
002245.OF,泰康稳健增利A,2016/2/3,2016/2/3,6.08,稳健型,混合债券型一级基金,蒋利娟,泰康资产,否,0.7,0.15,开放申购|开放赎回,59.45
002261.OF,中银宝利A,2016/2/4,2016/2/4,6.08,平衡型,灵活配置型基金,宋殿宇,中银基金,否,0.6,0.1,开放申购|开放赎回,7.52
002276.OF,中邮纯债恒利A,2017/4/13,2017/4/13,4.89,稳健型,中长期纯债型基金,武志骁,中邮基金,否,0.3,0.1,开放申购|开放赎回,2.18
002331.OF,泰康安泰回报,2016/3/23,2016/3/23,5.95,激进型,偏债混合型基金,"陈怡,任翀",泰康资产,否,1,0.25,开放申购|开放赎回,6.54
002351.OF,易方达裕祥回报,2016/1/22,2016/1/22,6.12,激进型,混合债券型二级基金,"林森,林虎",易方达基金,否,0.4,0.1,暂停大额申购|开放赎回,729.49
002361.OF,国富恒瑞A,2016/2/4,2016/2/4,6.08,平衡型,混合债券型二级基金,赵晓东,国海富兰克林基金,否,0.7,0.1,开放申购|开放赎回,46.67
002363.OF,华安安康A,2016/2/1,2018/8/9,6.09,平衡型,灵活配置型基金,"石雨欣,陆奔",华安基金,否,0.9,0.2,开放申购|开放赎回,179.6
002388.OF,天弘裕利A,2016/1/29,2016/1/29,6.1,稳健型,灵活配置型基金,"张寓,彭玮",天弘基金,否,0.6,0.15,开放申购|开放赎回,3.97
002405.OF,光大中高等级A,2017/8/4,2017/8/4,4.58,激进型,混合债券型一级基金,黄波,光大保德信基金,否,0.7,0.2,开放申购|开放赎回,2.96
002413.OF,中银瑞利A,2016/2/4,2016/2/4,6.08,平衡型,灵活配置型基金,苗婷,中银基金,否,0.6,0.1,开放申购|开放赎回,11.14
002430.OF,中银丰利A,2016/8/11,2016/8/11,5.56,平衡型,灵活配置型基金,杨成,中银基金,否,0.6,0.1,开放申购|开放赎回,9.17
002434.OF,中银宏利A,2016/8/1,2016/8/1,5.59,平衡型,灵活配置型基金,宋殿宇,中银基金,否,0.6,0.1,开放申购|开放赎回,9.28
002448.OF,江信汇福,2016/5/5,2016/5/5,5.83,稳健型,中长期纯债型基金,杨鹏飞,江信基金,是,0.6,0.1,暂停申购|暂停赎回,2.14
002455.OF,民生加银鑫喜,2016/12/9,2016/12/9,5.23,平衡型,灵活配置型基金,关键,民生加银基金,否,0.6,0.15,暂停大额申购|开放赎回,9.71
002461.OF,中银珍利A,2016/3/10,2016/3/10,5.98,平衡型,灵活配置型基金,苗婷,中银基金,否,0.6,0.1,开放申购|开放赎回,9.46
002474.OF,中邮睿信增强,2016/8/25,2016/8/25,5.52,平衡型,混合债券型二级基金,"闫宜乘,江刘玮",中邮基金,否,0.8,0.2,开放申购|开放赎回,2.95
002490.OF,金鹰元祺信用债,2016/4/6,2017/11/8,5.91,平衡型,中长期纯债型基金,"林龙军,林暐",金鹰基金,否,0.6,0.15,开放申购|开放赎回,6.95
002498.OF,兴业聚鑫A,2016/4/25,2016/4/25,5.86,平衡型,灵活配置型基金,腊博,兴业基金,否,0.6,0.13,开放申购|开放赎回,9.75
002501.OF,银华远景,2016/4/1,2016/4/1,5.92,平衡型,混合债券型二级基金,"孙慧,贾鹏",银华基金,否,0.5,0.1,开放申购|开放赎回,80.45
002502.OF,中银腾利A,2016/6/21,2016/6/21,5.7,平衡型,灵活配置型基金,苗婷,中银基金,否,0.6,0.1,开放申购|开放赎回,8.89
