,R2,R3,R5,R6,R7,R8,,,,,,,,,
002749.OF,17.86,5.07,25.11,25.1,25.11,7.89,,,,,,,,,
002767.OF,5.26,1.84,25.97,26.35,25.97,2.2,,,,,,,,,
002776.OF,18.04,7.54,30.12,30.12,30.12,4.27,,,,,,,,,
002783.OF,6.8,2.99,23.96,23.95,23.95,3.14,,,,,,,,,
002792.OF,4.96,3.05,33.31,33.31,33.31,2.76,,,,,,,,,
002796.OF,7.22,3.19,24.51,24.51,24.51,4.17,,,,,,,,,
002813.OF,14.77,4.44,22.99,22.99,22.99,3.79,,,,,,,,,
002819.OF,6.29,2.55,26.91,26.9,26.9,1.88,,,,,,,,,
002826.OF,15.28,4.82,22.45,22.44,22.45,6.78,,,,,,,,,
002838.OF,16.6,8.94,17.96,17.96,17.96,11.13,,,,,,,,,
002901.OF,5.59,3.71,26.54,26.59,26.61,3.47,,,,,,,,,
002908.OF,8.93,4.45,25.84,25.83,25.84,3.95,,,,,,,,,
002925.OF,11.75,2.41,30.54,30.53,30.54,4.13,,,,,,,,,
002932.OF,5.67,2.54,27.94,27.93,27.94,1.78,,,,,,,,,
002934.OF,6.65,2.89,30.13,30.13,30.13,1.54,,,,,,,,,
002946.OF,12.89,5.68,28.65,28.64,28.65,4.01,,,,,,,,,
002961.OF,7.29,2.23,22.56,22.56,22.56,2.11,,,,,,,,,
002969.OF,10.53,3.84,30.91,30.87,30.87,2.44,,,,,,,,,
002971.OF,22.59,4.69,30.3,30.29,30.29,6.2,,,,,,,,,
002985.OF,16.66,8.84,19.01,19,19.01,10.66,,,,,,,,,
002986.OF,7.03,3.44,26.42,26.41,26.42,3.04,,,,,,,,,
003026.OF,22.99,6.05,29.99,29.98,29.97,7.73,,,,,,,,,
003028.OF,15.16,5.49,28.5,28.51,28.51,4.43,,,,,,,,,
003030.OF,6.4,2.87,32.63,32.62,32.63,1.73,,,,,,,,,
003037.OF,7.88,6,25.41,25.3,25.41,3.13,,,,,,,,,
003044.OF,7.35,1.71,25.42,25.42,25.42,1.89,,,,,,,,,
003062.OF,15.58,4.27,28.12,28.12,28.12,5.6,,,,,,,,,
003105.OF,13.86,5.25,31.4,31.4,31.4,3.66,,,,,,,,,
003107.OF,9.97,4.21,24.4,24.4,24.4,2.9,,,,,,,,,
