,R1,R4,R9
005943.OF,9.04,9.04,9.49
006004.OF,7.06,7.06,7.07
006059.OF,5.05,5.05,5.06
006061.OF,10.34,10.33,10.36
006114.OF,9.1,9.09,9.09
006140.OF,7.18,7.19,7.22
006174.OF,4.86,4.86,4.86
006188.OF,8.64,8.64,8.65
006207.OF,6.74,6.74,6.84
006353.OF,6.16,6.16,6.16
006398.OF,8.61,8.61,8.63
006459.OF,5.78,5.78,5.77
006466.OF,6.39,6.39,6.4
006500.OF,8.71,8.71,8.69
006535.OF,13.74,13.74,13.71
006638.OF,15.49,15.5,15.53
006654.OF,11.23,11.23,11.22
006738.OF,9.98,9.97,10.08
006832.OF,5.04,5.04,5.06
006839.OF,8.27,8.27,8.27
006854.OF,7.02,7.02,7.01
006896.OF,11.81,11.81,11.79
006952.OF,5.0,5.0,4.99
006973.OF,4.64,4.64,4.7
006974.OF,6.31,6.31,6.3
007128.OF,7.25,7.26,7.26
007266.OF,16.96,16.95,16.93
007282.OF,9.48,9.48,9.47
007318.OF,5.22,5.22,5.37
007385.OF,7.1,7.1,7.08
007415.OF,5.56,5.56,5.55
007712.OF,6.56,6.56,6.55
007725.OF,6.66,6.66,6.65
007752.OF,7.95,7.95,7.98
007767.OF,8.83,8.83,8.82
007781.OF,16.5,16.5,16.6
007879.OF,6.62,6.62,6.63
007884.OF,5.46,5.46,5.43
020002.OF,7.05,7.05,7.06
020033.OF,6.25,6.25,6.26
040009.OF,8.82,8.81,8.8
040012.OF,10.13,10.13,10.16
040019.OF,4.82,4.82,4.88
040036.OF,4.79,4.8,4.83
050006.OF,8.35,8.35,8.35
050016.OF,5.92,5.92,5.91
050023.OF,8.32,8.32,8.31
070015.OF,6.38,6.38,6.41
070020.OF,4.5,4.49,4.52
080003.OF,5.92,5.92,5.9
090002.OF,3.66,3.66,3.64
090006.OF,3.56,3.56,3.7
100018.OF,3.38,3.38,3.37
100035.OF,4.22,4.22,4.28
110007.OF,6.27,6.27,6.33
110017.OF,4.8,4.8,4.83
110027.OF,4.27,4.27,4.33
110035.OF,7.94,7.93,7.98
121009.OF,4.61,4.61,4.62
121012.OF,4.3,4.3,4.32
151002.OF,4.57,4.57,4.59
160220.OF,5.64,5.64,5.65
160323.OF,7.32,7.31,7.24
160513.OF,8.15,8.15,8.14
160524.OF,14.21,14.2,14.23
160612.OF,5.99,5.98,6.07
160622.OF,3.39,3.39,3.4
161010.OF,6.63,6.62,6.64
161015.OF,3.86,3.86,3.87
161019.OF,4.63,4.63,4.62
161115.OF,6.7,6.7,6.68
161216.OF,4.77,4.76,4.77
161505.OF,7.22,7.22,7.19
161603.OF,8.79,8.79,8.8
161618.OF,13.69,13.69,13.69
161626.OF,7.02,7.02,7.01
161722.OF,6.18,6.18,6.29
162205.OF,5.99,5.99,6.06
162210.OF,11.88,11.88,11.84
162215.OF,11.57,11.58,11.56
162414.OF,7.4,7.4,7.43
162712.OF,4.91,4.9,4.93
163003.OF,11.13,11.13,11.11
163806.OF,5.37,5.37,5.38
163811.OF,5.38,5.39,5.39
163819.OF,5.52,5.52,5.56
163825.OF,6.86,6.86,6.86
164105.OF,5.29,5.3,5.27
164208.OF,5.51,5.51,5.51
164606.OF,10.89,10.89,10.9
164808.OF,3.19,3.19,3.19
165311.OF,7.5,7.5,7.55
165526.OF,6.09,6.09,6.11
166010.OF,8.91,8.91,9.0
166105.OF,7.64,7.63,7.69
167003.OF,10.28,10.28,10.42
169106.OF,6.06,6.06,6.06
180015.OF,4.52,4.52,4.54
180025.OF,5.47,5.47,5.53
202101.OF,3.77,3.77,3.78
202102.OF,7.01,7.01,7.0
202105.OF,3.32,3.32,3.24
206003.OF,5.83,5.83,5.86
206008.OF,5.22,5.22,5.28
206018.OF,2.86,2.87,2.87
