,R2,R3,R5,R6,R7,R8
002728.OF,5.2,2.36,29.54,29.53,29.54,2.47
002734.OF,11.57,2.46,16.65,16.64,16.64,1.96
002738.OF,5.25,1.35,34.27,34.27,34.27,1.53
002749.OF,16.93,5.1,24.99,24.99,24.99,7.89
002767.OF,5.46,1.87,25.66,25.64,25.65,2.2
002776.OF,17.81,7.65,29.98,29.98,29.98,4.27
002783.OF,7.42,2.99,22.82,22.82,22.82,3.14
002792.OF,5.05,3.02,33.1,33.1,33.1,2.76
002796.OF,7.23,3.13,24.29,24.29,24.29,4.17
002813.OF,14.86,4.6,22.26,22.18,22.21,3.79
002819.OF,5.67,2.57,28.93,28.93,28.93,1.88
002826.OF,16.65,4.12,21.93,21.89,21.93,6.78
002838.OF,16.3,8.88,18.03,18.18,18.16,11.13
002901.OF,5.75,3.53,23.3,23.4,23.45,3.47
002908.OF,9.1,4.46,24.87,24.84,24.84,3.95
002925.OF,11.86,2.76,29.11,29.09,29.11,4.13
002932.OF,5.39,2.23,25.72,25.71,25.72,1.78
002934.OF,6.71,2.82,28.86,28.86,28.86,1.54
002946.OF,13.19,5.68,28.85,28.84,28.85,4.01
002961.OF,7.3,1.72,21.52,21.52,21.62,2.11
002969.OF,10.74,3.6,32.35,32.35,32.35,2.44
002971.OF,22.67,4.85,30.07,30.07,30.07,6.2
002985.OF,18.72,9.29,19.06,19.03,19.06,10.66
002986.OF,6.6,3.35,25.39,25.39,25.4,3.04
003026.OF,22.57,6.48,31.74,31.74,31.74,7.73
003028.OF,15.14,5.83,28.74,28.71,28.71,4.43
003030.OF,6.4,2.94,31.08,31.07,31.08,1.73
003037.OF,7.59,6.11,25.02,24.48,25.02,3.13
003044.OF,7.38,1.67,24.95,24.94,24.95,1.89
003062.OF,15.61,4.02,26.76,26.76,26.76,5.6
003105.OF,13.05,5.25,31.14,31.14,31.14,3.66
003107.OF,11.66,4.25,24.22,24.22,24.22,2.9
003109.OF,8.78,2.61,25.29,25.29,25.31,2.47
003115.OF,10.71,4.23,26.81,26.81,26.83,4.54
003117.OF,9.76,2.97,29.18,29.17,29.23,4.17
003123.OF,24.79,10.25,41.66,41.58,41.63,9.59
